,CPIAUCSL,CXU900000LB0402M,CXU900000LB0403M,CXU900000LB0404M,CXU900000LB0405M,CXU900000LB0406M,CXU900000LB0408M,CXU900000LB0409M,MSPUS,CXUHOMEOWNLB0402M,CXUHOMEOWNLB0403M,CXUHOMEOWNLB0404M,CXUHOMEOWNLB0405M,CXUHOMEOWNLB0406M,CXUHOMEOWNLB0408M,CXUHOMEOWNLB0409M,CXUMEDSERVSLB0402M,CXUMEDSERVSLB0403M,CXUMEDSERVSLB0404M,CXUMEDSERVSLB0405M,CXUMEDSERVSLB0406M,CXUMEDSERVSLB0408M,CXUMEDSERVSLB0409M,tuition_cost
1990-01-01,130.658,12101.0,28967.0,35431.0,36868.0,24114.0,5439.0,1133.0,122300.0,8.0,44.0,67.0,75.0,80.0,82.0,73.0,190.0,391.0,646.0,664.0,654.0,656.0,674.0,10645
1991-01-01,136.167,12083.0,30274.0,36146.0,39636.0,27400.0,6056.0,981.0,119975.0,10.0,46.0,65.0,77.0,79.0,80.0,74.0,131.0,417.0,630.0,706.0,672.0,671.0,455.0,11142
1992-01-01,140.308,12998.0,29558.0,36950.0,37954.0,26044.0,5937.0,1754.0,121375.0,11.0,42.0,63.0,74.0,79.0,79.0,74.0,159.0,406.0,648.0,585.0,685.0,576.0,514.0,11309
1993-01-01,144.475,13979.0,29568.0,39449.0,41720.0,26745.0,6473.0,1407.0,126500.0,10.0,42.0,65.0,76.0,82.0,81.0,77.0,140.0,424.0,697.0,631.0,655.0,555.0,783.0,11671
1994-01-01,148.225,13637.0,30810.0,40400.0,42218.0,29972.0,5792.0,1885.0,130425.0,12.0,41.0,66.0,77.0,79.0,81.0,76.0,218.0,407.0,627.0,673.0,791.0,539.0,639.0,11885
1995-01-01,152.383,14567.0,32656.0,39422.0,44975.0,27438.0,6772.0,1699.0,133475.0,12.0,44.0,63.0,76.0,81.0,82.0,76.0,158.0,380.0,595.0,665.0,587.0,473.0,487.0,12135
1996-01-01,156.858,12980.0,34755.0,42502.0,44092.0,30070.0,7267.0,1726.0,140250.0,10.0,45.0,64.0,76.0,79.0,82.0,77.0,121.0,353.0,596.0,625.0,725.0,563.0,717.0,12315
1997-01-01,160.525,13098.0,37455.0,43458.0,47985.0,30684.0,8494.0,1936.0,145000.0,9.0,44.0,64.0,77.0,79.0,81.0,77.0,128.0,422.0,547.0,658.0,664.0,636.0,475.0,12624
1998-01-01,163.008,14553.0,38548.0,45563.0,51425.0,31947.0,7545.0,1719.0,151925.0,10.0,43.0,69.0,77.0,78.0,83.0,76.0,136.0,373.0,557.0,738.0,642.0,592.0,601.0,12944
1999-01-01,166.583,16210.0,39372.0,48616.0,52224.0,34521.0,8169.0,2295.0,160125.0,13.0,45.0,67.0,77.0,80.0,82.0,77.0,184.0,351.0,531.0,754.0,751.0,574.0,632.0,12936
2000-01-01,172.192,16908.0,42770.0,50870.0,50826.0,35544.0,9174.0,2147.0,167550.0,12.0,46.0,69.0,75.0,81.0,82.0,77.0,178.0,367.0,555.0,699.0,721.0,686.0,658.0,12984
2001-01-01,177.042,17650.0,46301.0,53591.0,53952.0,38830.0,10880.0,2702.0,173100.0,13.0,48.0,68.0,77.0,81.0,82.0,78.0,135.0,354.0,573.0,676.0,769.0,866.0,507.0,13491
2002-01-01,179.867,18040.0,46183.0,55638.0,57139.0,40391.0,13134.0,2925.0,186025.0,15.0,49.0,68.0,76.0,81.0,84.0,77.0,196.0,391.0,556.0,768.0,863.0,635.0,527.0,13990
2003-01-01,184.0,18525.0,47430.0,55795.0,59835.0,45121.0,12359.0,2575.0,192125.0,15.0,48.0,69.0,76.0,82.0,83.0,78.0,129.0,394.0,598.0,718.0,742.0,681.0,695.0,14891
2004-01-01,188.908,19954.0,48542.0,59294.0,61021.0,45535.0,16264.0,4363.0,218150.0,15.0,49.0,69.0,77.0,83.0,83.0,78.0,184.0,403.0,654.0,809.0,892.0,631.0,723.0,15422
2005-01-01,195.267,24041.0,50468.0,65224.0,65522.0,46563.0,15947.0,5018.0,236550.0,19.0,48.0,69.0,75.0,82.0,83.0,78.0,197.0,399.0,665.0,771.0,979.0,733.0,805.0,15744
2006-01-01,201.558,25626.0,52748.0,67470.0,66994.0,48023.0,17551.0,5664.0,243750.0,20.0,50.0,68.0,75.0,80.0,83.0,77.0,193.0,469.0,634.0,798.0,978.0,636.0,692.0,16224
2007-01-01,207.344,27685.0,52914.0,69903.0,70023.0,54021.0,18489.0,5180.0,244950.0,16.0,47.0,68.0,75.0,81.0,81.0,77.0,267.0,556.0,651.0,772.0,883.0,1027.0,651.0,16379
2008-01-01,215.254,25371.0,55684.0,70592.0,72664.0,54256.0,17321.0,5185.0,229550.0,15.0,46.0,67.0,75.0,81.0,81.0,76.0,143.0,472.0,711.0,838.0,1022.0,853.0,728.0,17044
2009-01-01,214.565,22749.0,54461.0,69677.0,72345.0,53711.0,18760.0,6048.0,215650.0,14.0,46.0,65.0,74.0,81.0,81.0,77.0,167.0,466.0,650.0,862.0,1054.0,818.0,824.0,17726
2010-01-01,218.076,23173.0,55289.0,68531.0,70394.0,52632.0,18989.0,5626.0,222700.0,14.0,45.0,65.0,73.0,80.0,82.0,80.0,236.0,443.0,681.0,879.0,943.0,849.0,735.0,18389
2011-01-01,224.923,23818.0,53600.0,70471.0,70076.0,55381.0,19670.0,5321.0,224900.0,15.0,43.0,62.0,72.0,79.0,83.0,79.0,254.0,546.0,694.0,942.0,1013.0,894.0,656.0,18909
2012-01-01,229.586,32013.0,54394.0,71631.0,73086.0,59272.0,21251.0,5424.0,244400.0,15.0,40.0,62.0,72.0,79.0,80.0,79.0,406.0,525.0,720.0,892.0,1210.0,974.0,887.0,19458
2013-01-01,232.952,24512.0,55024.0,70874.0,68738.0,58031.0,23076.0,6138.0,266225.0,14.0,40.0,62.0,69.0,79.0,82.0,79.0,272.0,580.0,786.0,918.0,1053.0,876.0,706.0,19933
2014-01-01,236.715,26389.0,56263.0,75146.0,76008.0,57213.0,22448.0,5294.0,285775.0,11.0,39.0,58.0,70.0,77.0,81.0,80.0,181.0,480.0,861.0,888.0,912.0,1020.0,867.0,20498
2015-01-01,237.002,27528.0,59741.0,76860.0,82476.0,57932.0,22768.0,6226.0,294150.0,14.0,39.0,57.0,70.0,75.0,80.0,77.0,237.0,481.0,732.0,879.0,983.0,918.0,1035.0,21087
2016-01-01,240.005,30317.0,61432.0,83032.0,85949.0,62548.0,24627.0,6396.0,305125.0,17.0,37.0,57.0,69.0,76.0,79.0,76.0,210.0,611.0,800.0,929.0,1067.0,878.0,962.0,21290
2017-01-01,245.121,28150.0,64331.0,78598.0,87299.0,66741.0,24716.0,6016.0,322425.0,13.0,41.0,54.0,69.0,78.0,80.0,79.0,387.0,588.0,832.0,928.0,1196.0,956.0,847.0,21492
2018-01-01,251.1,28632.0,68683.0,86649.0,95295.0,70346.0,25366.0,7003.0,325275.0,13.0,41.0,58.0,68.0,76.0,81.0,79.0,314.0,588.0,946.0,987.0,1144.0,935.0,1087.0,21750
